Molecule Name,exp_pEC50,category,CNNaffinity,CNNscore,minimizedAffinity,pred_pEC50_raw,n_hops
OCNT-1308007,3.09,train,,,,,
OCNT-2310195,4.24,train,,,,,
OADMET-0004922,5.34,train,,,,,
OADMET-0005833,4.66,train,,,,,
OCNT-2313394,4.89,train,,,,,
OCNT-2316031,5.11,train,,,,,
OADMET-0005015,4.8,train,,,,,
OADMET-0003461,1.76,train,,,,,
OADMET-0002990,3.35,train,,,,,
OADMET-0005901,4.26,train,,,,,
OADMET-0003444,2.55,train,,,,,
OCNT-1965898,1.84,train,,,,,
OCNT-0022140,4.18,train,,,,,
OADMET-0003063,5.11,train,,,,,
OADMET-0003328,5.13,train,,,,,
OADMET-0004105,5.18,train,,,,,
OCNT-1965954,5.29,train,,,,,
OADMET-0005046,5.1,train,,,,,
OCNT-2312180,5.69,train,,,,,
OADMET-0004629,4.41,train,,,,,
OADMET-0002946,5.915,train,,,,,
OADMET-0006607,,phase2,8.03154087,0.518958867,-6.13007641,2.437782831528095,2.0
OADMET-0005231,4.81,train,,,,,
OADMET-0005378,4.89,train,,,,,
OCNT-2312548,1.77,train,,,,,
OCNT-2316320,5.67,train,,,,,
OADMET-0001945,1.81,train,,,,,
OADMET-0004551,4.43,train,,,,,
OADMET-0002578,4.65,train,,,,,
OADMET-0004972,4.24,train,,,,,
OCNT-2316076,1.83,train,,,,,
OADMET-0005831,3.9,train,,,,,
OCNT-2312094,4.82,train,,,,,
OCNT-2313551,2.08,train,,,,,
OCNT-2317936,4.42,train,,,,,
OADMET-0005120,4.19,train,,,,,
OCNT-2313385,4.91,train,,,,,
OADMET-0003434,6.01,train,,,,,
OADMET-0002277,2.26,train,,,,,
OADMET-0005468,4.38,train,,,,,
OCNT-2328403,1.83,train,,,,,
OCNT-1966028,2.98,train,,,,,
OCNT-1307936,3.62,train,,,,,
OCNT-2308522,4.22,train,,,,,
OADMET-0005610,4.85,train,,,,,
OADMET-0001416,4.71,train,,,,,
OCNT-2314177,5.11,train,,,,,
OADMET-0003511,5.55,train,,,,,
OADMET-0006331,4.88,phase1,7.62359476,0.741929412,-7.37740469,,
OADMET-0003472,6.015000000000001,train,,,,,
OADMET-0002237,3.72,train,,,,,
OCNT-1309244,3.53,train,,,,,
OCNT-0473769,5.04,train,,,,,
OCNT-2309698,4.56,train,,,,,
OCNT-0494080,2.04,train,,,,,
OADMET-0001409,4.1,train,,,,,
OADMET-0006361,,phase2,8.11244297,0.636087894,-7.03525829,5.547801500516956,1.0
OCNT-2310323,5.365,train,,,,,
OADMET-0002925,3.58,train,,,,,
OCNT-1307631,5.28,train,,,,,
OCNT-2316254,5.69,train,,,,,
OCNT-2308600,5.44,train,,,,,
OADMET-0002139,2.96,train,,,,,
OADMET-0002823,5.39,train,,,,,
OADMET-0005256,4.93,train,,,,,
OCNT-2314065,4.43,train,,,,,
OADMET-0001629,3.27,train,,,,,
OADMET-0006126,,phase2,7.56802225,0.583812356,-7.77791405,,
OADMET-0005152,5.06,train,,,,,
OCNT-0312364,4.84,train,,,,,
OCNT-2316249,5.39,train,,,,,
OCNT-2309465,5.4,train,,,,,
OCNT-2316155,4.74,train,,,,,
OADMET-0004916,4.79,train,,,,,
OADMET-0005300,4.38,train,,,,,
OCNT-2328447,4.39,train,,,,,
OCNT-0373020,4.36,train,,,,,
OADMET-0001132,2.67,train,,,,,
OADMET-0004843,5.24,train,,,,,
OADMET-0001047,3.79,train,,,,,
OADMET-0005232,5.45,train,,,,,
OADMET-0006512,,phase2,7.14922762,0.620593131,-6.05799055,2.479816451146716,2.0
OCNT-0269860,2.62,train,,,,,
OCNT-0354857,3.85,train,,,,,
OADMET-0005917,4.67,train,,,,,
OCNT-0467536,5.15,train,,,,,
OCNT-0003574,3.18,train,,,,,
OADMET-0003777,1.89,train,,,,,
OCNT-2313419,4.62,train,,,,,
OCNT-2309511,4.97,train,,,,,
OCNT-1871124,2.88,train,,,,,
OADMET-0005106,4.73,train,,,,,
OADMET-0006116,4.485,phase1,6.88594103,0.733891487,-7.34102726,9.474683935049226,2.0
OCNT-1309129,4.95,train,,,,,
OCNT-2313334,4.83,train,,,,,
OCNT-2315783,5.32,train,,,,,
OCNT-1965961,3.47,train,,,,,
OCNT-1307751,3.87,train,,,,,
OADMET-0005009,5.09,train,,,,,
OADMET-0003424,5.69,train,,,,,
OCNT-2315472,6.6850000000000005,train,7.28956461,0.681092918,-7.33944035,,
OADMET-0002911,5.06,train,,,,,
OADMET-0003545,4.6,train,,,,,
OCNT-1871117,3.31,train,,,,,
OADMET-0001050,2.16,train,,,,,
OADMET-0003758,5.11,train,,,,,
OADMET-0005099,4.84,train,,,,,
OADMET-0006146,6.345000000000001,phase1,7.76932383,0.773750007,-7.19979477,7.316792316667576,1.0
OCNT-0000010,2.55,train,,,,,
OADMET-0005369,4.15,train,,,,,
OADMET-0005187,5.2,train,,,,,
OADMET-0005057,4.26,train,,,,,
OCNT-2316313,4.38,train,,,,,
OCNT-2315711,5.54,train,,,,,
OADMET-0006465,,phase2,8.02361393,0.861507595,-7.75566912,-4.721668744946674,1.0
OCNT-2315523,5.98,train,,,,,
OADMET-0005100,4.44,train,,,,,
OCNT-0003192,2.75,train,,,,,
OADMET-0005111,5.19,train,,,,,
OCNT-0355624,3.34,train,,,,,
OCNT-0022254,4.12,train,,,,,
OADMET-0005303,4.98,train,,,,,
OCNT-1911796,4.75,train,,,,,
OCNT-2314778,5.18,train,,,,,
OCNT-2313037,4.26,train,,,,,
OADMET-0006363,3.445,phase1,7.18393564,0.745044708,-6.99383307,,
OADMET-0003425,5.59,train,,,,,
OCNT-1307655,3.67,train,,,,,
OCNT-1307768,3.98,train,,,,,
OADMET-0001077,3.91,train,,,,,
OCNT-0344303,4.08,train,,,,,
OCNT-2314558,5.54,train,,,,,
OADMET-0001735,4.27,train,,,,,
OADMET-0006096,2.49,phase1,7.09950209,0.486383379,-8.29957962,1.6802622408383383,3.0
OADMET-0003485,5.57,train,,,,,
OCNT-0326549,2.39,train,,,,,
OADMET-0006516,,phase2,7.73082352,0.591499209,-6.94133711,,
OADMET-0003255,5.18,train,,,,,
OCNT-2312644,5.4,train,,,,,
OCNT-2315701,5.05,train,,,,,
OCNT-2317533,5.38,train,,,,,
OCNT-2315616,4.4,train,,,,,
OCNT-2314401,5.01,train,,,,,
OCNT-2308954,4.82,train,,,,,
OCNT-0274464,2.14,train,,,,,
OADMET-0005367,4.75,train,,,,,
OCNT-2316794,4.87,train,,,,,
OADMET-0005590,4.63,train,,,,,
OCNT-2315407,5.06,train,,,,,
OCNT-2317796,4.34,train,,,,,
OCNT-2317513,5.83,train,,,,,
OADMET-0005932,4.94,train,,,,,
OCNT-1871066,2.41,train,,,,,
OCNT-1965964,4.13,train,,,,,
OADMET-0001211,2.67,train,,,,,
OCNT-0357754,3.09,train,,,,,
OCNT-2314875,5.31,train,,,,,
OADMET-0003364,3.18,train,,,,,
OADMET-0001872,3.92,train,,,,,
OCNT-2311732,4.87,train,,,,,
OADMET-0001280,3.14,train,,,,,
OADMET-0005091,5.31,train,,,,,
OADMET-0002211,1.85,train,,,,,
OADMET-0004060,4.92,train,,,,,
OCNT-0464495,3.92,train,,,,,
OADMET-0005882,4.07,train,,,,,
OADMET-0003005,5.17,train,,,,,
OCNT-2314389,5.34,train,,,,,
OCNT-2317122,5.65,train,,,,,
OCNT-2317963,4.63,train,,,,,
OCNT-2311427,5.35,train,,,,,
OADMET-0001665,2.36,train,,,,,
OADMET-0005402,5.1,train,,,,,
OCNT-0291118,3.56,train,,,,,
OCNT-2313090,3.43,train,,,,,
OADMET-0005393,4.4,train,,,,,
OCNT-2315420,4.64,train,,,,,
OCNT-2314260,4.84,train,,,,,
OCNT-0474011,3.0,train,,,,,
OADMET-0002009,3.11,train,,,,,
OADMET-0006100,5.234999999999999,phase1,7.48647547,0.746198773,-8.33893013,,
OCNT-2312820,5.39,train,,,,,
OADMET-0002593,4.609999999999999,train,,,,,
OADMET-0004579,4.65,train,,,,,
OADMET-0005547,5.37,train,,,,,
OADMET-0004958,4.97,train,,,,,
OCNT-2316717,5.37,train,,,,,
OADMET-0002110,2.0,train,,,,,
OADMET-0003502,5.35,train,,,,,
OADMET-0003041,5.36,train,,,,,
OADMET-0005230,5.21,train,,,,,
OADMET-0002075,2.41,train,,,,,
OCNT-2318292,5.53,train,,,,,
OADMET-0006240,,phase2,8.02929115,0.499653339,-7.63535023,,
OADMET-0005086,3.99,train,,,,,
OCNT-2313472,3.86,train,,,,,
OADMET-0006453,5.135,phase1,7.60310411,0.666557074,-8.13526344,7.382769981780124,1.0
OADMET-0002153,1.8,train,,,,,
OADMET-0002916,5.22,train,,,,,
OADMET-0003438,6.0,train,,,,,
OCNT-2314087,5.11,train,,,,,
OCNT-2328337,3.4,train,,,,,
OCNT-0498427,2.89,train,,,,,
OCNT-2313273,4.72,train,,,,,
OCNT-2318476,5.2,train,,,,,
OCNT-2317435,5.34,train,,,,,
OCNT-0474630,4.38,train,,,,,
OCNT-2311059,5.6,train,,,,,
OADMET-0001140,2.77,train,,,,,
OADMET-0001635,3.63,train,,,,,
OCNT-2315538,4.39,train,,,,,
OADMET-0005357,4.78,train,,,,,
OCNT-2309794,5.47,train,,,,,
OADMET-0001737,3.99,train,,,,,
OCNT-2317690,5.31,train,,,,,
OADMET-0006293,,phase2,7.75943613,0.53294158,-7.85412598,2.3952072022857,3.0
OCNT-2311212,5.32,train,,,,,
OCNT-0479737,5.18,train,,,,,
OADMET-0001358,3.43,train,,,,,
OADMET-0006601,,phase2,7.37073183,0.716284335,-8.27156162,10.175996557250784,2.0
OCNT-0356544,2.77,train,,,,,
OADMET-0004024,5.08,train,,,,,
OADMET-0002563,5.36,train,,,,,
OADMET-0005462,4.86,train,,,,,
OADMET-0005665,4.39,train,,,,,
OCNT-1307983,1.73,train,,,,,
OCNT-1871071,2.94,train,,,,,
OADMET-0001469,4.34,train,,,,,
OADMET-0001946,4.64,train,,,,,
OADMET-0002222,2.03,train,,,,,
OCNT-2309159,4.66,train,,,,,
OCNT-1965883,2.27,train,,,,,
OCNT-1307789,3.53,train,,,,,
OCNT-2316471,5.83,train,,,,,
OADMET-0005552,5.14,train,,,,,
OADMET-0003363,5.84,train,,,,,
OCNT-2314011,5.44,train,,,,,
OADMET-0005670,4.6,train,,,,,
OCNT-0302504,2.68,train,,,,,
OCNT-1307931,3.15,train,,,,,
OCNT-2309963,1.8,train,,,,,
OADMET-0005349,4.8,train,,,,,
OCNT-2309969,5.87,train,,,,,
OADMET-0005020,5.24,train,,,,,
OCNT-2314805,4.8,train,,,,,
OCNT-0336532,3.3,train,,,,,
OADMET-0001645,4.45,train,,,,,
OADMET-0005348,4.5,train,,,,,
OADMET-0003171,5.2,train,,,,,
OCNT-2314134,5.27,train,,,,,
OADMET-0003189,4.71,train,,,,,
OCNT-2308537,4.13,train,,,,,
OCNT-2308545,4.35,train,,,,,
OADMET-0006147,,phase2,7.44641256,0.921359777,-7.41324425,9.228673515322283,3.0
OCNT-2328789,1.76,train,,,,,
OADMET-0002292,1.92,train,,,,,
OADMET-0004349,4.1,train,,,,,
OCNT-1307991,2.86,train,,,,,
OADMET-0005143,4.63,train,,,,,
OCNT-2308571,4.21,train,,,,,
OCNT-0375088,3.19,train,,,,,
OADMET-0001670,4.5,train,,,,,
OCNT-2316460,4.53,train,,,,,
OCNT-2310695,4.53,train,,,,,
OADMET-0005617,4.87,train,,,,,
OCNT-1307608,3.58,train,,,,,
OCNT-0350900,3.52,train,,,,,
OADMET-0004720,4.59,train,,,,,
OADMET-0005781,4.85,train,,,,,
OADMET-0003020,5.28,train,,,,,
OADMET-0003805,4.42,train,,,,,
OCNT-2318259,4.74,train,,,,,
OADMET-0002132,2.95,train,,,,,
OADMET-0001311,3.81,train,,,,,
OCNT-0473972,3.16,train,,,,,
OADMET-0001121,2.84,train,,,,,
OADMET-0001116,3.21,train,,,,,
OCNT-0339064,4.87,train,,,,,
OADMET-0006414,3.74,phase1,7.47932482,0.662894189,-8.24581528,8.140610021406262,1.0
OADMET-0003185,5.27,train,,,,,
OCNT-2311119,5.41,train,,,,,
OADMET-0004695,5.2,train,,,,,
OADMET-0003490,5.57,train,,,,,
OCNT-1263860,3.07,train,,,,,
OADMET-0005082,5.32,train,,,,,
OCNT-2317990,4.7,train,,,,,
OCNT-2309387,4.49,train,,,,,
OCNT-2311661,5.25,train,,,,,
OADMET-0002017,4.21,train,,,,,
OCNT-1307869,4.67,train,,,,,
OADMET-0003125,4.91,train,,,,,
OCNT-2314089,4.23,train,,,,,
OADMET-0002971,5.79,train,,,,,
OCNT-2328727,3.89,train,,,,,
OCNT-2311343,5.22,train,,,,,
OADMET-0004889,4.38,train,,,,,
OCNT-2317836,4.46,train,,,,,
OADMET-0005375,4.53,train,,,,,
OADMET-0006400,4.835,phase1,7.69607019,0.842344046,-8.76834011,6.512249381325256,1.0
OADMET-0002337,6.87,train,,,,,
OADMET-0004816,4.64,train,,,,,
OADMET-0001460,2.48,train,,,,,
OCNT-2313452,4.79,train,,,,,
OCNT-2311456,5.3,train,,,,,
OADMET-0002232,2.69,train,,,,,
OCNT-2312218,5.545,train,,,,,
OCNT-2316191,5.1,train,,,,,
OADMET-0005496,5.08,train,,,,,
OCNT-2318458,5.66,train,,,,,
OCNT-2318585,5.12,train,,,,,
OCNT-2313323,6.46,train,,,,,
OCNT-2313496,4.4,train,,,,,
OCNT-1966015,4.95,train,,,,,
OCNT-2316733,4.66,train,,,,,
OCNT-2328807,1.79,train,,,,,
OCNT-2316224,5.84,train,,,,,
OADMET-0004831,4.42,train,,,,,
OADMET-0001159,3.41,train,,,,,
OADMET-0005750,4.44,train,,,,,
OADMET-0001552,4.64,train,,,,,
OADMET-0006450,,phase2,7.59379244,0.843800008,-7.89286804,,
OCNT-2317338,4.77,train,,,,,
OADMET-0001295,4.6,train,,,,,
OADMET-0001276,4.6,train,,,,,
OADMET-0006053,5.31,train,,,,,
OADMET-0002130,2.81,train,,,,,
OADMET-0004566,4.71,train,,,,,
OCNT-2318508,4.76,train,,,,,
OADMET-0001173,3.3,train,,,,,
OADMET-0004790,5.31,train,,,,,
OCNT-1308098,1.76,train,,,,,
OADMET-0001337,4.99,train,,,,,
OCNT-2328612,3.1,train,,,,,
OCNT-2311241,5.25,train,,,,,
OADMET-0002651,5.57,train,,,,,
OADMET-0005889,4.76,train,,,,,
OCNT-1871034,2.4,train,,,,,
OADMET-0006149,4.66,phase1,7.03213263,0.644484162,-8.77756214,,
OCNT-0290411,3.39,train,,,,,
OCNT-0002547,2.76,train,,,,,
OADMET-0000989,3.63,train,,,,,
OADMET-0005826,5.19,train,,,,,
OADMET-0006556,,phase2,7.3948245,0.846901298,-6.69974709,5.526789722643032,3.0
OCNT-2318057,5.4,train,,,,,
OCNT-2317149,5.25,train,,,,,
OCNT-1871081,2.5,train,,,,,
OADMET-0006110,,phase2,7.53939581,0.636062384,-7.95040989,,
OADMET-0005048,5.05,train,,,,,
OCNT-2328469,2.08,train,,,,,
OCNT-2308678,4.48,train,,,,,
OCNT-0337573,2.42,train,,,,,
OADMET-0002567,5.93,train,,,,,
OCNT-1871065,3.56,train,,,,,
OADMET-0001758,1.71,train,,,,,
OCNT-2310119,5.21,train,,,,,
OADMET-0001632,2.45,train,,,,,
OCNT-2317386,5.53,train,,,,,
OADMET-0004906,5.1,train,,,,,
OADMET-0005729,4.23,train,,,,,
OCNT-2312340,1.79,train,,,,,
OADMET-0002603,6.855,train,,,,,
OADMET-0002312,2.47,train,,,,,
OADMET-0003378,5.51,train,,,,,
OCNT-2318186,4.97,train,,,,,
OADMET-0001228,2.71,train,,,,,
OCNT-0474384,5.16,train,,,,,
OCNT-0498030,4.64,train,,,,,
OADMET-0002997,5.25,train,,,,,
OADMET-0005645,4.65,train,,,,,
OCNT-2313024,5.31,train,,,,,
OCNT-1871039,2.87,train,,,,,
OCNT-2309372,4.46,train,,,,,
OCNT-2312771,4.45,train,,,,,
OCNT-2313726,5.19,train,,,,,
OCNT-0330541,2.68,train,,,,,
OADMET-0005864,4.77,train,,,,,
OCNT-2315016,4.11,train,,,,,
OADMET-0002052,2.49,train,,,,,
OCNT-2313104,5.11,train,,,,,
OADMET-0003253,5.47,train,,,,,
OADMET-0001324,3.39,train,,,,,
OADMET-0003196,5.16,train,,,,,
OCNT-2311722,5.01,train,,,,,
OCNT-0683715,2.1,train,,,,,
OCNT-1309256,5.1,train,,,,,
OADMET-0001729,3.67,train,,,,,
OADMET-0002008,2.27,train,,,,,
OCNT-2316459,4.975,train,,,,,
OCNT-2316169,3.31,train,,,,,
OADMET-0002661,5.28,train,,,,,
OCNT-2316748,3.63,train,,,,,
OADMET-0005444,4.57,train,,,,,
OADMET-0006070,4.36,train,,,,,
OCNT-1965907,2.08,train,,,,,
OCNT-1965968,4.13,train,,,,,
OADMET-0005877,4.44,train,,,,,
OCNT-2309996,4.56,train,,,,,
OADMET-0003669,4.71,train,,,,,
OADMET-0006509,,phase2,7.61734533,0.923055112,-7.55340242,,
OADMET-0002800,5.09,train,,,,,
OCNT-2310004,4.6,train,,,,,
OADMET-0006343,,phase2,7.22794199,0.686992943,-7.32455492,,
OADMET-0003163,5.3,train,,,,,
OADMET-0003418,5.44,train,,,,,
OADMET-0006251,5.445,phase1,8.05008888,0.834411025,-9.12498951,-0.9803403260593893,2.0
OCNT-2309200,5.41,train,,,,,
OADMET-0006024,4.61,train,,,,,
OCNT-2318468,5.44,train,,,,,
OCNT-2328658,3.2,train,,,,,
OADMET-0006557,4.63,phase1,7.5496316,0.57985568,-5.95389938,4.103718803353031,1.0
OADMET-0003593,4.31,train,,,,,
OCNT-2313150,4.46,train,,,,,
OADMET-0003202,4.96,train,,,,,
OCNT-0496318,2.82,train,,,,,
OCNT-1308002,5.21,train,,,,,
OADMET-0001448,4.54,train,,,,,
OCNT-1871147,3.9,train,,,,,
OADMET-0005822,4.65,train,,,,,
OADMET-0004987,5.23,train,,,,,
OADMET-0005816,4.4,train,,,,,
OCNT-0355725,2.22,train,,,,,
OCNT-2309102,5.12,train,,,,,
OADMET-0000955,3.66,train,,,,,
OCNT-2317644,5.33,train,,,,,
OCNT-1965992,4.33,train,,,,,
OCNT-2312783,3.78,train,,,,,
OADMET-0003305,1.83,train,,,,,
OCNT-2313529,4.21,train,,,,,
OCNT-0322325,3.28,train,,,,,
OADMET-0002040,3.55,train,,,,,
OCNT-0357686,4.56,train,,,,,
OADMET-0006288,4.98,phase1,7.31712961,0.82391566,-8.25236034,,
OCNT-2315443,5.05,train,,,,,
OADMET-0001978,4.03,train,,,,,
OCNT-2308521,4.48,train,,,,,
OADMET-0003465,5.54,train,,,,,
OADMET-0005125,4.67,train,,,,,
OCNT-2309005,4.58,train,,,,,
OCNT-0010457,1.92,train,,,,,
OADMET-0004699,5.04,train,,,,,
OADMET-0001630,5.82,train,,,,,
OADMET-0006547,4.925000000000001,phase1,7.29382563,0.88239342,-7.65036249,,
OCNT-2310360,5.41,train,,,,,
OCNT-2313670,4.42,train,,,,,
OCNT-1871013,2.64,train,,,,,
OCNT-1307917,4.35,train,,,,,
OADMET-0005578,4.77,train,,,,,
OCNT-2310072,5.3,train,,,,,
OCNT-2309512,5.27,train,,,,,
OCNT-2309234,4.53,train,,,,,
OADMET-0005422,4.86,train,,,,,
OADMET-0003087,3.13,train,,,,,
OCNT-2315097,4.220000000000001,train,,,,,
OCNT-2313846,4.46,train,,,,,
OCNT-1871052,2.63,train,,,,,
OCNT-1309224,3.66,train,,,,,
OADMET-0003860,4.97,train,,,,,
OCNT-2309544,4.51,train,,,,,
OCNT-1309171,4.58,train,,,,,
OADMET-0004859,5.29,train,,,,,
OCNT-2313847,5.01,train,,,,,
OCNT-2316440,3.56,train,,,,,
OADMET-0003329,5.67,train,,,,,
OCNT-2312797,3.1,train,,,,,
OADMET-0001138,2.9,train,,,,,
OADMET-0006036,5.2,train,,,,,
OADMET-0005110,4.93,train,,,,,
OADMET-0001462,5.16,train,,,,,
OADMET-0001727,2.54,train,,,,,
OADMET-0001652,3.09,train,,,,,
OADMET-0002246,1.92,train,,,,,
OADMET-0001340,3.16,train,,,,,
OADMET-0003391,5.06,train,,,,,
OADMET-0003123,5.17,train,,,,,
OADMET-0000936,3.96,train,,,,,
OADMET-0006151,5.145,phase1,7.59345102,0.762700856,-8.6676836,0.4492400689654365,1.0
OADMET-0006427,3.38,phase1,7.70459604,0.855551898,-8.02732468,4.080228396765042,2.0
OCNT-0338675,3.04,train,,,,,
OADMET-0000976,3.81,train,,,,,
OCNT-1510520,2.04,train,,,,,
OCNT-2318412,4.95,train,,,,,
OCNT-2317125,4.72,train,,,,,
OCNT-1966026,4.95,train,,,,,
OCNT-0340994,3.64,train,,,,,
OADMET-0001293,4.19,train,,,,,
OADMET-0003160,3.89,train,,,,,
OCNT-2314481,4.81,train,,,,,
OADMET-0004884,5.09,train,,,,,
OADMET-0005888,4.98,train,,,,,
OCNT-2313550,6.14,train,,,,,
OADMET-0001203,3.05,train,,,,,
OCNT-2314770,4.53,train,,,,,
OCNT-1307857,5.25,train,,,,,
OCNT-1871073,3.37,train,,,,,
OADMET-0002014,5.29,train,,,,,
OCNT-2328862,1.78,train,,,,,
OADMET-0003549,4.18,train,,,,,
OADMET-0003047,5.03,train,,,,,
OADMET-0002735,5.455,train,,,,,
OADMET-0003112,5.54,train,,,,,
OADMET-0004997,5.02,train,,,,,
OCNT-2318383,5.14,train,,,,,
OADMET-0003649,6.69,train,,,,,
OADMET-0003706,4.92,train,,,,,
OADMET-0004775,5.16,train,,,,,
OADMET-0002660,1.8,train,,,,,
OADMET-0003790,3.27,train,,,,,
OADMET-0002099,1.98,train,,,,,
OADMET-0001617,3.92,train,,,,,
OCNT-0465500,3.4,train,,,,,
OCNT-1965934,4.745,train,,,,,
OADMET-0003679,2.44,train,,,,,
OCNT-2310060,5.39,train,,,,,
OADMET-0004974,4.98,train,,,,,
OADMET-0001239,7.54855421686747,train,,,,,
OCNT-2316464,5.24,train,,,,,
OADMET-0005684,4.67,train,,,,,
OCNT-0286324,2.15,train,,,,,
OCNT-2315311,3.78,train,,,,,
OADMET-0002063,3.96,train,,,,,
OADMET-0003038,4.87,train,,,,,
OCNT-2316311,5.29,train,,,,,
OADMET-0006220,,phase2,7.14458847,0.723359227,-7.48015022,11.662484984138004,1.0
OCNT-2309429,4.11,train,,,,,
OADMET-0001918,4.73,train,,,,,
OADMET-0000954,2.48,train,,,,,
OCNT-2314532,4.85,train,,,,,
OADMET-0003752,4.27,train,,,,,
OADMET-0003638,5.33,train,,,,,
OCNT-0366325,3.85,train,,,,,
OCNT-2317297,5.54,train,,,,,
OADMET-0003129,2.87,train,,,,,
OADMET-0005007,4.82,train,,,,,
OADMET-0004128,5.13,train,,,,,
OCNT-1966044,4.46,train,,,,,
OADMET-0002326,1.86,train,,,,,
OCNT-2314708,5.37,train,,,,,
OADMET-0002631,5.77,train,,,,,
OADMET-0006114,,phase2,7.41508102,0.598702669,-7.81722641,,
OADMET-0004003,5.12,train,,,,,
OADMET-0003439,5.33,train,,,,,
OADMET-0001060,3.97,train,,,,,
OCNT-2315392,5.1,train,,,,,
OADMET-0005471,5.32,train,,,,,
OADMET-0005130,5.1,train,,,,,
OCNT-2316859,4.635,train,,,,,
OCNT-1307880,3.48,train,,,,,
OCNT-2308949,5.93,train,,,,,
OADMET-0004749,4.26,train,,,,,
OCNT-2313399,5.17,train,,,,,
OADMET-0003310,5.64,train,,,,,
OADMET-0002168,3.0,train,,,,,
OADMET-0004256,5.3,train,,,,,
OADMET-0006612,4.28,phase1,7.09966516,0.734263837,-7.83469534,-0.1013595524183585,3.0
OCNT-2313497,5.26,train,,,,,
OCNT-2311565,5.46,train,,,,,
OADMET-0002854,5.59,train,,,,,
OADMET-0003680,2.68,train,,,,,
OADMET-0005532,5.22,train,,,,,
OCNT-0356213,2.9,train,,,,,
OCNT-0363369,2.49,train,,,,,
OCNT-1871092,1.88,train,,,,,
OADMET-0005923,5.53,train,,,,,
OADMET-0001511,3.62,train,,,,,
OADMET-0005061,5.39,train,,,,,
OCNT-0371048,4.64,train,,,,,
OCNT-2312373,4.65,train,,,,,
OADMET-0004458,5.18,train,,,,,
OCNT-1871108,1.86,train,,,,,
OCNT-2316441,6.26,train,7.76559877,0.917977214,-9.34110165,,
OCNT-2310044,4.68,train,,,,,
OADMET-0001349,3.36,train,,,,,
OCNT-1755334,2.2,train,,,,,
OADMET-0006190,,phase2,7.47901678,0.72628516,-7.49094296,,
OADMET-0002016,2.99,train,,,,,
OADMET-0001997,3.61,train,,,,,
OADMET-0002668,5.03,train,,,,,
OADMET-0005223,5.2,train,,,,,
OCNT-2309788,5.16,train,,,,,
OADMET-0001484,2.44,train,,,,,
OADMET-0003324,5.86,train,,,,,
OCNT-2309555,5.07,train,,,,,
OADMET-0001825,1.62,train,,,,,
OADMET-0002753,6.15,train,,,,,
OCNT-2314163,5.28,train,,,,,
OCNT-1307994,2.57,train,,,,,
OADMET-0002176,2.73,train,,,,,
OCNT-2310081,4.78,train,,,,,
OCNT-2309062,5.58,train,,,,,
OADMET-0002167,3.11,train,,,,,
OADMET-0005983,4.56,train,,,,,
OADMET-0003932,4.64,train,,,,,
OADMET-0001488,5.22,train,,,,,
OCNT-0003106,2.54,train,,,,,
OADMET-0005845,4.84,train,,,,,
OCNT-2315048,4.68,train,,,,,
OCNT-2316334,4.03,train,,,,,
OADMET-0004210,5.06,train,,,,,
OADMET-0005016,5.13,train,,,,,
OCNT-2311855,5.3,train,,,,,
OADMET-0001828,4.3,train,,,,,
OCNT-2311187,5.904999999999999,train,7.47039652,0.885563552,-10.731699,,
OCNT-2309721,4.66,train,,,,,
OCNT-2328712,4.78,train,,,,,
OCNT-0722549,2.72,train,,,,,
OADMET-0005139,5.12,train,,,,,
OADMET-0002965,5.01,train,,,,,
OADMET-0002944,6.04,train,,,,,
OADMET-0003956,3.89,train,,,,,
OCNT-2310515,5.82,train,,,,,
OCNT-2309121,1.75,train,,,,,
OCNT-2328491,2.4,train,,,,,
OCNT-2316666,5.19,train,,,,,
OADMET-0003587,5.14,train,,,,,
OCNT-2314711,4.83,train,,,,,
OADMET-0006513,,phase2,7.98314524,0.943506122,-7.96214151,4.811339883269018,1.0
OCNT-2312940,4.77,train,,,,,
OCNT-2313215,4.88,train,,,,,
OCNT-2309176,5.19,train,,,,,
OADMET-0005221,5.04,train,,,,,
OADMET-0002878,5.0,train,,,,,
OADMET-0002611,5.27,train,,,,,
OCNT-0020820,2.82,train,,,,,
OADMET-0002295,2.09,train,,,,,
OCNT-0291229,2.56,train,,,,,
OADMET-0002672,1.72,train,,,,,
OCNT-2309941,5.41,train,,,,,
OADMET-0003823,5.02,train,,,,,
OADMET-0002162,1.79,train,,,,,
OADMET-0002134,2.85,train,,,,,
OCNT-2315313,4.68,train,,,,,
OCNT-2310353,3.56,train,,,,,
OADMET-0005365,4.9,train,,,,,
OADMET-0004415,4.17,train,,,,,
OADMET-0005392,4.43,train,,,,,
OCNT-2310491,5.29,train,,,,,
OADMET-0002641,2.06,train,,,,,
OADMET-0002766,5.904999999999999,train,,,,,
OADMET-0005533,4.21,train,,,,,
OADMET-0003050,3.8,train,,,,,
OCNT-2313337,3.98,train,,,,,
OADMET-0003711,4.87,train,,,,,
OADMET-0005000,4.57,train,,,,,
OADMET-0001208,4.11,train,,,,,
OADMET-0001716,4.04,train,,,,,
OADMET-0001172,2.43,train,,,,,
OCNT-2328404,1.78,train,,,,,
OCNT-1307787,6.37,train,,,,,
OCNT-2310551,4.66,train,,,,,
OADMET-0002772,5.215,train,,,,,
OADMET-0005081,4.91,train,,,,,
